Date,Type,Block,Street,Story,Area,Model  ,ResalePrice,Lease Age 
2022-01,5 ROOM,120B,PUNGGOL WEST,07 TO 09,113,Improved,610000,4.6
2022-01,5 ROOM,171A,PUNGGOL WEST,16 TO 18,110,Improved,540000,18
2022-01,5 ROOM,126C,PUNGGOL WEST,10 TO 12,110,Improved,492500,18.8
2022-01,5 ROOM,120A,PUNGGOL WEST,13 TO 15,113,Improved,655000,4.7
2022-01,5 ROOM,174C,PUNGGOL WEST,10 TO 12,110,Improved,530000,18
2022-01,3 ROOM,120A,PUNGGOL WEST,13 TO 15,67,Model A,380000,4.7
2022-01,4 ROOM,121B,PUNGGOL WEST,07 TO 09,93,Model A,488800,4.6
2022-01,4 ROOM,120A,PUNGGOL WEST,16 TO 18,93,Model A,455000,4.6
2022-01,4 ROOM,120A,PUNGGOL WEST,07 TO 09,93,Model A,470000,4.6
2022-01,4 ROOM,122A,PUNGGOL WEST,13 TO 15,93,Model A,468500,4.6
2022-01,4 ROOM,171A,PUNGGOL WEST,13 TO 15,85,Model A,425000,18
2022-01,4 ROOM,662D,PUNGGOL WEST,10 TO 12,92,Premium Apartment,550000,4.6
2022-01,5 ROOM,132,PUNGGOL WEST,10 TO 12,111,Premium Apartment,480000,18.1
2022-01,5 ROOM,130,PUNGGOL WEST,04 TO 06,111,Premium Apartment,490000,18.1
2022-01,5 ROOM,662D,PUNGGOL WEST,01 TO 03,112,Premium Apartment,680000,4.6
2022-01,5 ROOM,661C,PUNGGOL WEST,01 TO 03,112,Premium Apartment,662000,4.6
2022-01,5 ROOM,135,PUNGGOL WEST,04 TO 06,111,Premium Apartment,498000,18.1
2022-01,5 ROOM,661B,PUNGGOL WEST,04 TO 06,112,Premium Apartment,700000,4.7
2022-01,5 ROOM,130,PUNGGOL WEST,04 TO 06,112,Premium Apartment,480000,18.2
2022-01,5 ROOM,133,PUNGGOL WEST,16 TO 18,111,Premium Apartment,495000,18.1
2022-02,5 ROOM,174C,PUNGGOL WEST,04 TO 06,110,Improved,533000,18
2022-02,5 ROOM,120A,PUNGGOL WEST,10 TO 12,113,Improved,625000,4.8
2022-02,5 ROOM,171A,PUNGGOL WEST,07 TO 09,110,Improved,538000,18
2022-02,5 ROOM,126D,PUNGGOL WEST,07 TO 09,110,Improved,535000,19
2022-02,5 ROOM,121B,PUNGGOL WEST,13 TO 15,112,Improved,625000,4.8
2022-02,5 ROOM,109C,PUNGGOL WEST,04 TO 06,110,Improved,518000,18.8
2022-02,3 ROOM,122B,PUNGGOL WEST,16 TO 18,68,Model A,433000,4.7
2022-02,4 ROOM,126C,PUNGGOL WEST,07 TO 09,85,Model A,405000,18.8
2022-02,4 ROOM,171A,PUNGGOL WEST,16 TO 18,85,Model A,460000,18
2022-02,4 ROOM,120B,PUNGGOL WEST,07 TO 09,93,Model A,490000,4.8
2022-02,3 ROOM,662A,PUNGGOL WEST,13 TO 15,68,Premium Apartment,395000,4.6
2022-02,3 ROOM,662B,PUNGGOL WEST,01 TO 03,68,Premium Apartment,415000,4.8
2022-02,4 ROOM,130,PUNGGOL WEST,10 TO 12,91,Premium Apartment,415000,18.2
2022-02,4 ROOM,661B,PUNGGOL WEST,16 TO 18,92,Premium Apartment,530000,4.7
2022-02,4 ROOM,133,PUNGGOL WEST,10 TO 12,91,Premium Apartment,430000,18.2
2022-02,4 ROOM,661A,PUNGGOL WEST,16 TO 18,92,Premium Apartment,540888,4.7
2022-02,5 ROOM,662D,PUNGGOL WEST,07 TO 09,112,Premium Apartment,688000,4.7
2022-02,5 ROOM,662C,PUNGGOL WEST,01 TO 03,112,Premium Apartment,610000,4.8
2022-02,5 ROOM,138,PUNGGOL WEST,10 TO 12,111,Premium Apartment,435000,18.3
2022-03,5 ROOM,174B,PUNGGOL WEST,16 TO 18,110,Improved,493000,18.2
2022-03,5 ROOM,121B,PUNGGOL WEST,04 TO 06,112,Improved,625000,4.8
2022-03,5 ROOM,171B,PUNGGOL WEST,01 TO 03,110,Improved,495000,18.1
2022-03,5 ROOM,126A,PUNGGOL WEST,04 TO 06,110,Improved,482888,19
2022-03,5 ROOM,126D,PUNGGOL WEST,10 TO 12,110,Improved,530000,19
2022-03,3 ROOM,120A,PUNGGOL WEST,13 TO 15,67,Model A,380000,4.8
2022-03,3 ROOM,662B,PUNGGOL WEST,07 TO 09,67,Premium Apartment,412000,4.8
2022-03,4 ROOM,661B,PUNGGOL WEST,13 TO 15,92,Premium Apartment,495000,4.8
2022-03,4 ROOM,132,PUNGGOL WEST,07 TO 09,91,Premium Apartment,445000,18.3
2022-03,4 ROOM,662A,PUNGGOL WEST,07 TO 09,92,Premium Apartment,495000,4.8
2022-03,4 ROOM,662A,PUNGGOL WEST,04 TO 06,92,Premium Apartment,550000,4.8
2022-03,4 ROOM,661A,PUNGGOL WEST,07 TO 09,92,Premium Apartment,515000,4.8
2022-03,4 ROOM,662A,PUNGGOL WEST,10 TO 12,92,Premium Apartment,558888,4.8
2022-03,5 ROOM,662D,PUNGGOL WEST,10 TO 12,112,Premium Apartment,690000,4.8
2022-03,5 ROOM,138,PUNGGOL WEST,04 TO 06,111,Premium Apartment,470000,18.3
2022-03,5 ROOM,661B,PUNGGOL WEST,10 TO 12,112,Premium Apartment,678888,4.8
2022-03,5 ROOM,135,PUNGGOL WEST,01 TO 03,111,Premium Apartment,488000,18.3
2022-03,5 ROOM,135,PUNGGOL WEST,07 TO 09,111,Premium Apartment,467000,18.3
2022-03,5 ROOM,661C,PUNGGOL WEST,07 TO 09,112,Premium Apartment,668000,4.8
2022-03,5 ROOM,133,PUNGGOL WEST,13 TO 15,112,Premium Apartment,510000,18.3
2022-04,5 ROOM,172A,PUNGGOL WEST,07 TO 09,110,Improved,505000,17.8
2022-04,5 ROOM,120B,PUNGGOL WEST,16 TO 18,113,Improved,590000,4.8
2022-04,5 ROOM,126B,PUNGGOL WEST,04 TO 06,110,Improved,518000,19.1
2022-04,5 ROOM,109D,PUNGGOL WEST,13 TO 15,110,Improved,485000,18.8
2022-04,5 ROOM,126C,PUNGGOL WEST,10 TO 12,110,Improved,515000,19.2
2022-04,5 ROOM,171A,PUNGGOL WEST,10 TO 12,110,Improved,540000,18.3
2022-04,4 ROOM,174D,PUNGGOL WEST,07 TO 09,90,Model A,490000,18.2
2022-04,4 ROOM,171C,PUNGGOL WEST,13 TO 15,85,Model A,455000,18.1
2022-04,4 ROOM,661A,PUNGGOL WEST,01 TO 03,92,Premium Apartment,586888,4.8
2022-04,4 ROOM,661C,PUNGGOL WEST,01 TO 03,92,Premium Apartment,535000,4.8
2022-04,4 ROOM,682A,PUNGGOL WEST,10 TO 12,93,Premium Apartment,553000,3.7
2022-04,4 ROOM,682A,PUNGGOL WEST,07 TO 09,93,Premium Apartment,610000,3.7
2022-04,5 ROOM,135,PUNGGOL WEST,07 TO 09,111,Premium Apartment,502000,18.3
2022-04,5 ROOM,134,PUNGGOL WEST,10 TO 12,111,Premium Apartment,470000,18.3
2022-04,5 ROOM,662D,PUNGGOL WEST,01 TO 03,112,Premium Apartment,690000,5
2022-04,5 ROOM,132,PUNGGOL WEST,07 TO 09,111,Premium Apartment,480888,18.4
2022-04,5 ROOM,682A,PUNGGOL WEST,04 TO 06,113,Premium Apartment,704000,3.7
2022-05,5 ROOM,109D,PUNGGOL WEST,10 TO 12,110,Improved,520000,19
2022-05,5 ROOM,109B,PUNGGOL WEST,04 TO 06,110,Improved,525000,19
2022-05,5 ROOM,126B,PUNGGOL WEST,04 TO 06,110,Improved,520000,19.2
